,preyID,preyPhylum,preyClass,preyOrder,preyFamily,preyGenus,preyspecies
Tropidurus hispidus,Tropidurus hispidus,Chordata,Reptilia,Squamata,Tropiduridae,Tropidurus,Tropidurus hispidus
Thamnophis radix,Thamnophis radix,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,Thamnophis radix
Sceloporus occidentalis longipes,Sceloporus occidentalis longipes,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,Sceloporus occidentalis
Talpa,Talpa,Chordata,Mammalia,Soricomorpha,Talpidae,Talpa,NA
Mimus polyglottos,Mimus polyglottos,Chordata,Aves,Passeriformes,Mimidae,Mimus,Mimus polyglottos
Piranga ludoviciana,Piranga ludoviciana,Chordata,Aves,Passeriformes,Cardinalidae,Piranga,Piranga ludoviciana
Bufo formosus,Bufo formosus,Chordata,Amphibia,Anura,Bufonidae,Bufo,NA
Sclerophrys,Sclerophrys,Chordata,Amphibia,Anura,Bufonidae,Sclerophrys,NA
Centrarchidae,Centrarchidae,Chordata,Teleostei,Perciformes,Centrarchidae,NA,NA
Rhinella icterica,Rhinella icterica,Chordata,Amphibia,Anura,Bufonidae,Rhinella,Rhinella icterica
Ophisaurus,Ophisaurus,Chordata,Reptilia,Squamata,Anguidae,Ophisaurus,NA
Leporidae,Leporidae,Chordata,Mammalia,Lagomorpha,Leporidae,NA,NA
Buergeria robusta,Buergeria robusta,Chordata,Amphibia,Anura,Rhacophoridae,Buergeria,Buergeria robusta
Arion,Arion,Mollusca,Gastropoda,Stylommatophora,Arionidae,Arion,NA
Bufo sachalinensis,Bufo sachalinensis,Chordata,Amphibia,Anura,Bufonidae,Bufo,NA
Neotoma fuscipes,Neotoma fuscipes,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma fuscipes
Chondrodactylus bibronii,Chondrodactylus bibronii,Chordata,Reptilia,Squamata,Gekkonidae,Chondrodactylus,Chondrodactylus bibronii
Cophosaurus texanus,Cophosaurus texanus,Chordata,Reptilia,Squamata,Phrynosomatidae,Cophosaurus,Cophosaurus texanus
Tettigoniidae,Tettigoniidae,Arthropoda,Insecta,Orthoptera,Tettigoniidae,NA,NA
Amynthas,Amynthas,Annelida,Clitellata,Opisthopora,Megascolecidae,Amynthas,NA
Thamnophis sirtalis sirtalis,Thamnophis sirtalis sirtalis,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,Thamnophis sirtalis
Haemorhous mexicanus,Haemorhous mexicanus,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,Haemorhous mexicanus
Boana raniceps,Boana raniceps,Chordata,Amphibia,Anura,Hylidae,Boana,Boana raniceps
Glis glis,Glis glis,Chordata,Mammalia,Rodentia,Gliridae,Glis,Glis glis
Virginia,Virginia,Chordata,Reptilia,Squamata,Colubridae,Virginia,NA
Incilius,Incilius,Chordata,Amphibia,Anura,Bufonidae,Incilius,NA
Anguis veronensis,Anguis veronensis,Chordata,Reptilia,Squamata,Anguidae,Anguis,Anguis veronensis
Amphiuma means,Amphiuma means,Chordata,Amphibia,Caudata,Amphiumidae,Amphiuma,Amphiuma means
Plestiodon skiltonianus,Plestiodon skiltonianus,Chordata,Reptilia,Squamata,Scincidae,Plestiodon,Plestiodon skiltonianus
Incilius valliceps,Incilius valliceps,Chordata,Amphibia,Anura,Bufonidae,Incilius,Incilius valliceps
Rana cascadae,Rana cascadae,Chordata,Amphibia,Anura,Ranidae,Rana,Rana cascadae
Fejervarya cancrivora,Fejervarya cancrivora,Chordata,Amphibia,Anura,Dicroglossidae,Fejervarya,Fejervarya cancrivora
Chaetodipus,Chaetodipus,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,NA
Neotoma,Neotoma,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,NA
Gekko chinensis,Gekko chinensis,Chordata,Reptilia,Squamata,Gekkonidae,Gekko,Gekko chinensis
Limnonectes malesianus,Limnonectes malesianus,Chordata,Amphibia,Anura,Dicroglossidae,Limnonectes,Limnonectes malesianus
Haemorhous purpureus,Haemorhous purpureus,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,Haemorhous purpureus
Sigmodon hispidus,Sigmodon hispidus,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,Sigmodon hispidus
Elgaria coerulea,Elgaria coerulea,Chordata,Reptilia,Squamata,Anguidae,Elgaria,Elgaria coerulea
Todirostrum cinereum,Todirostrum cinereum,Chordata,Aves,Passeriformes,Tyrannidae,Todirostrum,Todirostrum cinereum
Oplurus cuvieri,Oplurus cuvieri,Chordata,Reptilia,Squamata,Opluridae,Oplurus,Oplurus cuvieri
Tropidolaemus subannulatus,Tropidolaemus subannulatus,Chordata,Reptilia,Squamata,Viperidae,Tropidolaemus,Tropidolaemus subannulatus
Breviceps gibbosus,Breviceps gibbosus,Chordata,Amphibia,Anura,Brevicipitidae,Breviceps,Breviceps gibbosus
Sphenomorphus,Sphenomorphus,Chordata,Reptilia,Squamata,Scincidae,Sphenomorphus,NA
Amphiuma tridactylum,Amphiuma tridactylum,Chordata,Amphibia,Caudata,Amphiumidae,Amphiuma,Amphiuma tridactylum
Plestiodon kishinouyei,Plestiodon kishinouyei,Chordata,Reptilia,Squamata,Scincidae,Plestiodon,Plestiodon kishinouyei
Boana semilineata,Boana semilineata,Chordata,Amphibia,Anura,Hylidae,Boana,Boana semilineata
Spilotes pullatus,Spilotes pullatus,Chordata,Reptilia,Squamata,Colubridae,Spilotes,Spilotes pullatus
Hoplobatrachus chinensis,Hoplobatrachus chinensis,Chordata,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,Hoplobatrachus chinensis
Rhinocheilus,Rhinocheilus,Chordata,Reptilia,Squamata,Colubridae,Rhinocheilus,NA
Trachylepis perrotetii,Trachylepis perrotetii,Chordata,Reptilia,Squamata,Scincidae,Trachylepis,Trachylepis perrotetii
Dicroglossinae,Dicroglossinae,Chordata,Amphibia,Anura,Dicroglossidae,NA,NA
Aspidoscelis gularis,Aspidoscelis gularis,Chordata,Reptilia,Squamata,Teiidae,Aspidoscelis,Aspidoscelis gularis
Rana coreana,Rana coreana,Chordata,Amphibia,Anura,Ranidae,Rana,Rana coreana
Ctenosaura similis,Ctenosaura similis,Chordata,Reptilia,Squamata,Iguanidae,Ctenosaura,Ctenosaura similis
Rhinella horribilis,Rhinella horribilis,Chordata,Amphibia,Anura,Bufonidae,Rhinella,Rhinella horribilis
Amietia delalandii,Amietia delalandii,Chordata,Amphibia,Anura,Pyxicephalidae,Amietia,Amietia delalandii
Turdus grayi,Turdus grayi,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus grayi
Craugastor,Craugastor,Chordata,Amphibia,Anura,Craugastoridae,Craugastor,NA
Heleophryne purcelli,Heleophryne purcelli,Chordata,Amphibia,Anura,Heleophrynidae,Heleophryne,Heleophryne purcelli
Trachylepis striata,Trachylepis striata,Chordata,Reptilia,Squamata,Scincidae,Trachylepis,Trachylepis striata
Kobus kob,Kobus kob,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus,Kobus kob
Anguis fragilis,Anguis fragilis,Chordata,Reptilia,Squamata,Anguidae,Anguis,Anguis fragilis
Rhinella,Rhinella,Chordata,Amphibia,Anura,Bufonidae,Rhinella,NA
Coryphistera alaudina,Coryphistera alaudina,Chordata,Aves,Passeriformes,Furnariidae,Coryphistera,Coryphistera alaudina
Duellmanohyla salvadorensis,Duellmanohyla salvadorensis,Chordata,Amphibia,Anura,Hylidae,Duellmanohyla,Duellmanohyla salvadorensis
Psammodynastes pulverulentus pulverulentus,Psammodynastes pulverulentus pulverulentus,Chordata,Reptilia,Squamata,Lamprophiidae,Psammodynastes,Psammodynastes pulverulentus
Thylogale,Thylogale,Chordata,Mammalia,Diprotodontia,Macropodidae,Thylogale,NA
Cordylus niger,Cordylus niger,Chordata,Reptilia,Squamata,Cordylidae,Cordylus,Cordylus niger
Pantherophis emoryi,Pantherophis emoryi,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,Pantherophis emoryi
Tenuidactylus caspius,Tenuidactylus caspius,Chordata,Reptilia,Squamata,Gekkonidae,Tenuidactylus,Tenuidactylus caspius
Picidae,Picidae,Chordata,Aves,Piciformes,Picidae,NA,NA
Serpentes,Serpentes,Chordata,Reptilia,Squamata,NA,NA,NA
Polypedates leucomystax,Polypedates leucomystax,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates leucomystax
Aspidoscelis sexlineatus,Aspidoscelis sexlineatus,Chordata,Reptilia,Squamata,Teiidae,Aspidoscelis,Aspidoscelis sexlineatus
Daboia russelii,Daboia russelii,Chordata,Reptilia,Squamata,Viperidae,Daboia,Daboia russelii
Trimorphodon lambda,Trimorphodon lambda,Chordata,Reptilia,Squamata,Colubridae,Trimorphodon,Trimorphodon lambda
Lampropeltis getula,Lampropeltis getula,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis getula
Hemidactylus greeffii,Hemidactylus greeffii,Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus greeffii
Dorosoma,Dorosoma,Chordata,Teleostei,Clupeiformes,Clupeidae,Dorosoma,NA
Rana aurora,Rana aurora,Chordata,Amphibia,Anura,Ranidae,Rana,Rana aurora
Ambystoma maculatum,Ambystoma maculatum,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma maculatum
Philantomba monticola,Philantomba monticola,Chordata,Mammalia,Artiodactyla,Bovidae,Philantomba,Philantomba monticola
Duttaphrynus,Duttaphrynus,Chordata,Amphibia,Anura,Bufonidae,Duttaphrynus,NA
Acontias meleagris,Acontias meleagris,Chordata,Reptilia,Squamata,Scincidae,Acontias,Acontias meleagris
Pteropodidae,Pteropodidae,Chordata,Mammalia,Chiroptera,Pteropodidae,NA,NA
Hyla cinerea,Hyla cinerea,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla cinerea
Opsariichthys evolans,Opsariichthys evolans,Chordata,Teleostei,Cypriniformes,Cyprinidae,NA,Opsariichthys evolans
Neogobius,Neogobius,Chordata,Teleostei,Perciformes,Gobiidae,Neogobius,NA
Boana prasina,Boana prasina,Chordata,Amphibia,Anura,Hylidae,Boana,Boana prasina
Calotes versicolor,Calotes versicolor,Chordata,Reptilia,Squamata,Agamidae,Calotes,Calotes versicolor
Rana arvalis,Rana arvalis,Chordata,Amphibia,Anura,Ranidae,Rana,Rana arvalis
Centrarchus macropterus,Centrarchus macropterus,Chordata,Teleostei,Perciformes,Centrarchidae,Centrarchus,Centrarchus macropterus
Ophiophagus hannah,Ophiophagus hannah,Chordata,Reptilia,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah
Lepus capensis,Lepus capensis,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus capensis
Cyprinidae,Cyprinidae,Chordata,Teleostei,Cypriniformes,Cyprinidae,NA,NA
Sciurus aureogaster,Sciurus aureogaster,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus aureogaster
Lacertidae,Lacertidae,Chordata,Reptilia,Squamata,Lacertidae,NA,NA
Lithobates areolatus,Lithobates areolatus,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates areolatus
Coluber constrictor mormon,Coluber constrictor mormon,Chordata,Reptilia,Squamata,Colubridae,Coluber,Coluber constrictor
Podarcis siculus,Podarcis siculus,Chordata,Reptilia,Squamata,Lacertidae,Podarcis,Podarcis siculus
Leptodactylus,Leptodactylus,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,NA
Didelphinae,Didelphinae,Chordata,Mammalia,Didelphimorphia,Didelphidae,NA,NA
Bronchocela cristatella,Bronchocela cristatella,Chordata,Reptilia,Squamata,Agamidae,Bronchocela,Bronchocela cristatella
Hemidactylus flaviviridis,Hemidactylus flaviviridis,Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus flaviviridis
Smilisca sordida,Smilisca sordida,Chordata,Amphibia,Anura,Hylidae,Smilisca,Smilisca sordida
Nerodia fasciata confluens,Nerodia fasciata confluens,Chordata,Reptilia,Squamata,Colubridae,Nerodia,Nerodia fasciata
Helicops leopardinus,Helicops leopardinus,Chordata,Reptilia,Squamata,Colubridae,Helicops,Helicops leopardinus
Alburnus alburnus,Alburnus alburnus,Chordata,Teleostei,Cypriniformes,Leuciscidae,Alburnus,Alburnus alburnus
Callipepla gambelii,Callipepla gambelii,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,Callipepla gambelii
Gobiidae,Gobiidae,Chordata,Teleostei,Perciformes,Gobiidae,NA,NA
Zenaida asiatica,Zenaida asiatica,Chordata,Aves,Columbiformes,Columbidae,Zenaida,Zenaida asiatica
Natrix tessellata,Natrix tessellata,Chordata,Reptilia,Squamata,Colubridae,Natrix,Natrix tessellata
Pantherophis,Pantherophis,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,NA
Sauromalus ater,Sauromalus ater,Chordata,Reptilia,Squamata,Iguanidae,Sauromalus,Sauromalus ater
Hoplobatrachus tigerinus,Hoplobatrachus tigerinus,Chordata,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,Hoplobatrachus tigerinus
Trichonephila clavipes,Trichonephila clavipes,Arthropoda,Euchelicerata,Araneae,Araneidae,Trichonephila,Trichonephila clavipes
Planorbarius corneus,Planorbarius corneus,Mollusca,Gastropoda,NA,Planorbidae,Planorbarius,Planorbarius corneus
Rhinella beebei,Rhinella beebei,Chordata,Amphibia,Anura,Bufonidae,Rhinella,Rhinella beebei
Indirana,Indirana,Chordata,Amphibia,Anura,Ranixalidae,Indirana,NA
Rana,Rana,Chordata,Amphibia,Anura,Ranidae,Rana,NA
Anaxyrus boreas halophilus,Anaxyrus boreas halophilus,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus boreas
Oryctolagus cuniculus,Oryctolagus cuniculus,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus
Oncorhynchus clarkii,Oncorhynchus clarkii,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus clarkii
Salamandra salamandra,Salamandra salamandra,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,Salamandra salamandra
Anaxyrus punctatus,Anaxyrus punctatus,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus punctatus
Setophaga,Setophaga,Chordata,Aves,Passeriformes,Parulidae,Setophaga,NA
Crotalus pyrrhus,Crotalus pyrrhus,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus pyrrhus
Didelphis virginiana,Didelphis virginiana,Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis,Didelphis virginiana
Boa imperator,Boa imperator,Chordata,Reptilia,Squamata,Boidae,Boa,Boa imperator
Hyla versicolor,Hyla versicolor,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla versicolor
Trachylepis punctatissima,Trachylepis punctatissima,Chordata,Reptilia,Squamata,Scincidae,Trachylepis,Trachylepis punctatissima
Natrix natrix,Natrix natrix,Chordata,Reptilia,Squamata,Colubridae,Natrix,Natrix natrix
Cottidae,Cottidae,Chordata,Teleostei,Scorpaeniformes,Cottidae,NA,NA
Rhacophorus malabaricus,Rhacophorus malabaricus,Chordata,Amphibia,Anura,Rhacophoridae,Rhacophorus,Rhacophorus malabaricus
Peromyscus,Peromyscus,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,NA
Silurus glanis,Silurus glanis,Chordata,Teleostei,Siluriformes,Siluridae,Silurus,Silurus glanis
Eremiadinae,Eremiadinae,Chordata,Reptilia,Squamata,Lacertidae,NA,NA
Lacerta agilis,Lacerta agilis,Chordata,Reptilia,Squamata,Lacertidae,Lacerta,Lacerta agilis
Danaus plexippus,Danaus plexippus,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus
Saproscincus rosei,Saproscincus rosei,Chordata,Reptilia,Squamata,Scincidae,Saproscincus,Saproscincus rosei
Cavioidea,Cavioidea,Chordata,Mammalia,Rodentia,NA,NA,NA
Scolopendra cingulata,Scolopendra cingulata,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Scolopendra,Scolopendra cingulata
Ploceus capensis,Ploceus capensis,Chordata,Aves,Passeriformes,Ploceidae,Ploceus,Ploceus capensis
Trachylepis wahlbergii,Trachylepis wahlbergii,Chordata,Reptilia,Squamata,Scincidae,Trachylepis,Trachylepis wahlbergii
Sceloporus torquatus,Sceloporus torquatus,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,Sceloporus torquatus
Cnemidophorus arubensis,Cnemidophorus arubensis,Chordata,Reptilia,Squamata,Teiidae,Cnemidophorus,Cnemidophorus arubensis
Saccopteryx bilineata,Saccopteryx bilineata,Chordata,Mammalia,Chiroptera,Emballonuridae,Saccopteryx,Saccopteryx bilineata
Aspidoscelis deppii,Aspidoscelis deppii,Chordata,Reptilia,Squamata,Teiidae,Aspidoscelis,Aspidoscelis deppii
Dendropsophus microcephalus,Dendropsophus microcephalus,Chordata,Amphibia,Anura,Hylidae,Dendropsophus,Dendropsophus microcephalus
Sceloporus olivaceus,Sceloporus olivaceus,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,Sceloporus olivaceus
Coluber constrictor flaviventris,Coluber constrictor flaviventris,Chordata,Reptilia,Squamata,Colubridae,Coluber,Coluber constrictor
Rhinella marina,Rhinella marina,Chordata,Amphibia,Anura,Bufonidae,Rhinella,Rhinella marina
Panaspis wahlbergii,Panaspis wahlbergii,Chordata,Reptilia,Squamata,Scincidae,Panaspis,Panaspis wahlbergii
Crotaphopeltis hotamboeia,Crotaphopeltis hotamboeia,Chordata,Reptilia,Squamata,Colubridae,Crotaphopeltis,Crotaphopeltis hotamboeia
Chiromantis,Chiromantis,Chordata,Amphibia,Anura,Rhacophoridae,Chiromantis,NA
Squalius cephalus,Squalius cephalus,Chordata,Teleostei,Cypriniformes,Leuciscidae,Squalius,Squalius cephalus
Polioptila melanura,Polioptila melanura,Chordata,Aves,Passeriformes,Polioptilidae,Polioptila,Polioptila melanura
Indosylvirana,Indosylvirana,Chordata,Amphibia,Anura,Ranidae,Indosylvirana,NA
Pseudocheirus peregrinus,Pseudocheirus peregrinus,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Pseudocheirus,Pseudocheirus peregrinus
Cordylidae,Cordylidae,Chordata,Reptilia,Squamata,Cordylidae,NA,NA
Cyprinus carpio carpio,Cyprinus carpio carpio,Chordata,Teleostei,Cypriniformes,Cyprinidae,Cyprinus,Cyprinus carpio
Agalychnis callidryas,Agalychnis callidryas,Chordata,Amphibia,Anura,Phyllomedusidae,Agalychnis,Agalychnis callidryas
Chalcides ocellatus,Chalcides ocellatus,Chordata,Reptilia,Squamata,Scincidae,Chalcides,Chalcides ocellatus
Masticophis lateralis lateralis,Masticophis lateralis lateralis,Chordata,Reptilia,Squamata,Colubridae,Masticophis,Masticophis lateralis
Kaloula pulchra,Kaloula pulchra,Chordata,Amphibia,Anura,Microhylidae,Kaloula,Kaloula pulchra
Cacosternum boettgeri,Cacosternum boettgeri,Chordata,Amphibia,Anura,Pyxicephalidae,Cacosternum,Cacosternum boettgeri
Tragelaphus angasii,Tragelaphus angasii,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus angasii
Lithobates grylio,Lithobates grylio,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates grylio
Gekko,Gekko,Chordata,Reptilia,Squamata,Gekkonidae,Gekko,NA
Dasyprocta punctata,Dasyprocta punctata,Chordata,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta punctata
Taricha granulosa,Taricha granulosa,Chordata,Amphibia,Caudata,Salamandridae,Taricha,Taricha granulosa
Streptopelia semitorquata,Streptopelia semitorquata,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,Streptopelia semitorquata
Atractaspididae,Atractaspididae,Chordata,Reptilia,Squamata,Atractaspididae,NA,NA
Liolaemus pictus,Liolaemus pictus,Chordata,Reptilia,Squamata,Liolaemidae,Liolaemus,Liolaemus pictus
Lepidodactylus,Lepidodactylus,Chordata,Reptilia,Squamata,Gekkonidae,Lepidodactylus,NA
Tinamus major,Tinamus major,Chordata,Aves,Tinamiformes,Tinamidae,Tinamus,Tinamus major
Testudines,Testudines,Chordata,Reptilia,Testudines,NA,NA,NA
Rhinella major,Rhinella major,Chordata,Amphibia,Anura,Bufonidae,Rhinella,Rhinella major
Acontiinae,Acontiinae,Chordata,Reptilia,Squamata,Scincidae,NA,NA
Elgaria multicarinata webbii,Elgaria multicarinata webbii,Chordata,Reptilia,Squamata,Anguidae,Elgaria,Elgaria multicarinata
Breviceps,Breviceps,Chordata,Amphibia,Anura,Brevicipitidae,Breviceps,NA
Neogobius melanostomus,Neogobius melanostomus,Chordata,Teleostei,Perciformes,Gobiidae,Neogobius,Neogobius melanostomus
Eremias arguta,Eremias arguta,Chordata,Reptilia,Squamata,Lacertidae,Eremias,Eremias arguta
Oxyrhopus clathratus,Oxyrhopus clathratus,Chordata,Reptilia,Squamata,Colubridae,Oxyrhopus,Oxyrhopus clathratus
Plethodon glutinosus,Plethodon glutinosus,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,Plethodon glutinosus
Podarcis,Podarcis,Chordata,Reptilia,Squamata,Lacertidae,Podarcis,NA
Artiodactyla,Artiodactyla,Chordata,Mammalia,Artiodactyla,NA,NA,NA
Oxyrhopus petolarius,Oxyrhopus petolarius,Chordata,Reptilia,Squamata,Colubridae,Oxyrhopus,Oxyrhopus petolarius
Vertebrata,Vertebrata,Chordata,NA,NA,NA,NA,NA
Sylvilagus audubonii,Sylvilagus audubonii,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus audubonii
Ambystoma texanum,Ambystoma texanum,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma texanum
Lycodonomorphus inornatus,Lycodonomorphus inornatus,Chordata,Reptilia,Squamata,Lamprophiidae,Lycodonomorphus,Lycodonomorphus inornatus
Bothrops asper,Bothrops asper,Chordata,Reptilia,Squamata,Viperidae,Bothrops,Bothrops asper
Didelphidae,Didelphidae,Chordata,Mammalia,Didelphimorphia,Didelphidae,NA,NA
Tetradactylus,Tetradactylus,Chordata,Reptilia,Squamata,Gerrhosauridae,Tetradactylus,NA
Plethodon cinereus,Plethodon cinereus,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,Plethodon cinereus
Darevskia,Darevskia,Chordata,Reptilia,Squamata,Lacertidae,Darevskia,NA
Epidalea calamita,Epidalea calamita,Chordata,Amphibia,Anura,Bufonidae,Epidalea,Epidalea calamita
Eutropis carinata,Eutropis carinata,Chordata,Reptilia,Squamata,Scincidae,Eutropis,Eutropis carinata
Passer melanurus,Passer melanurus,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer melanurus
Afrogecko porphyreus,Afrogecko porphyreus,Chordata,Reptilia,Squamata,Gekkonidae,Afrogecko,Afrogecko porphyreus
Thamnophis,Thamnophis,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,NA
Thamnophis elegans vagrans,Thamnophis elegans vagrans,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,Thamnophis elegans
Cypriniformes,Cypriniformes,Chordata,Teleostei,Cypriniformes,NA,NA,NA
Acontias,Acontias,Chordata,Reptilia,Squamata,Scincidae,Acontias,NA
Stichaeidae,Stichaeidae,Chordata,Teleostei,Perciformes,Stichaeidae,NA,NA
Diadophis punctatus amabilis,Diadophis punctatus amabilis,Chordata,Reptilia,Squamata,Colubridae,Diadophis,Diadophis punctatus
Polypedates,Polypedates,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,NA
Boaedon capensis,Boaedon capensis,Chordata,Reptilia,Squamata,Lamprophiidae,Boaedon,Boaedon capensis
Crotalus ruber,Crotalus ruber,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus ruber
Thamnophis marcianus,Thamnophis marcianus,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,Thamnophis marcianus
Calotes calotes,Calotes calotes,Chordata,Reptilia,Squamata,Agamidae,Calotes,Calotes calotes
Sceloporus variabilis,Sceloporus variabilis,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,Sceloporus variabilis
Callipepla californica,Callipepla californica,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,Callipepla californica
Diploderma polygonatum xanthostomum,Diploderma polygonatum xanthostomum,Chordata,Reptilia,Squamata,Agamidae,Diploderma,Diploderma polygonatum
Gygis alba,Gygis alba,Chordata,Aves,Charadriiformes,Laridae,Gygis,Gygis alba
Pteropus poliocephalus,Pteropus poliocephalus,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,Pteropus poliocephalus
Pseudonaja textilis,Pseudonaja textilis,Chordata,Reptilia,Squamata,Elapidae,Pseudonaja,Pseudonaja textilis
Sceloporus cowlesi,Sceloporus cowlesi,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,Sceloporus cowlesi
Trimerodytes percarinatus,Trimerodytes percarinatus,Chordata,Reptilia,Squamata,Colubridae,Trimerodytes,Trimerodytes percarinatus
Quasipaa exilispinosa,Quasipaa exilispinosa,Chordata,Amphibia,Anura,Dicroglossidae,Quasipaa,Quasipaa exilispinosa
Uropeltis,Uropeltis,Chordata,Reptilia,Squamata,Uropeltidae,Uropeltis,NA
Spinus psaltria,Spinus psaltria,Chordata,Aves,Passeriformes,Fringillidae,Spinus,Spinus psaltria
Boiga cynodon,Boiga cynodon,Chordata,Reptilia,Squamata,Colubridae,Boiga,Boiga cynodon
Notophthalmus viridescens,Notophthalmus viridescens,Chordata,Amphibia,Caudata,Salamandridae,Notophthalmus,Notophthalmus viridescens
Gambusia,Gambusia,Chordata,Teleostei,Cyprinodontiformes,Poeciliidae,Gambusia,NA
Bufotes viridis viridis,Bufotes viridis viridis,Chordata,Amphibia,Anura,Bufonidae,Bufotes,Bufotes viridis
Leptodactylus mystacinus,Leptodactylus mystacinus,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,Leptodactylus mystacinus
Catostomus commersonii,Catostomus commersonii,Chordata,Teleostei,Cypriniformes,Catostomidae,Catostomus,Catostomus commersonii
Pelobates vespertinus,Pelobates vespertinus,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,Pelobates vespertinus
Carassius,Carassius,Chordata,Teleostei,Cypriniformes,Cyprinidae,Carassius,NA
Caloenas nicobarica,Caloenas nicobarica,Chordata,Aves,Columbiformes,Columbidae,Caloenas,Caloenas nicobarica
Hyla squirella,Hyla squirella,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla squirella
Junco hyemalis,Junco hyemalis,Chordata,Aves,Passeriformes,Passerellidae,Junco,Junco hyemalis
Trachemys scripta,Trachemys scripta,Chordata,Reptilia,Testudines,Emydidae,Trachemys,Trachemys scripta
Zhangixalus dennysi,Zhangixalus dennysi,Chordata,Amphibia,Anura,Rhacophoridae,Zhangixalus,Zhangixalus dennysi
Psammodromus algirus,Psammodromus algirus,Chordata,Reptilia,Squamata,Lacertidae,Psammodromus,Psammodromus algirus
Philodryas chamissonis,Philodryas chamissonis,Chordata,Reptilia,Squamata,Colubridae,Philodryas,Philodryas chamissonis
Molothrus ater,Molothrus ater,Chordata,Aves,Passeriformes,Icteridae,Molothrus,Molothrus ater
Odonata,Odonata,Arthropoda,Insecta,Odonata,NA,NA,NA
Bothrops,Bothrops,Chordata,Reptilia,Squamata,Viperidae,Bothrops,NA
Trachops cirrhosus,Trachops cirrhosus,Chordata,Mammalia,Chiroptera,Phyllostomidae,Trachops,Trachops cirrhosus
Setophaga magnolia,Setophaga magnolia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga magnolia
